,gene_name,0528 cell,0528 EV,0618 EV,0622 EV,0618 cell,0622 cell
148,ANKFY1,1685396.6118,902858.5444,1331304.0185,848605.2929,1925734.4405999999,2283518.4230000004
149,ANKHD1,1186147.34626,189115.608812,266297.720811,225140.771276,1885829.0416,1113544.80302
150,ANKRD28,292607.4115,145408.5702,200552.2608,162849.1326,399818.9303,329487.573
151,ANKRD30A,5337482.522,1042191.135,1278007.276,1021128.211,4647782.548,6372286.277
152,ANKRD34A,390934.0513,878110.2793,2150957.979,2409367.535,493398.1571,477274.0343
153,ANKRD63,538071.0567,2093042.208,2438314.16,1805281.348,882317.4117,665063.3756
154,ANLN,835202.5125,467388.0734,359392.7344,541035.3081,903492.1085,840366.4172
155,ANO6,6479144.5896,6314507.4233,5205250.4493,8619237.1811,6992243.1005,6454260.0187
156,ANO8,2100103.437,483347.529,1059044.533,505130.9299,844855.751,1096958.058
157,ANP32A,42724206.8624,5892465.9890600005,16410646.059109999,11211779.31985,58529863.9804,48771196.9253
158,ANP32B,41298969.5449,4211346.03819,11289347.737599999,10375005.3498,48993640.322,50587992.5202
159,ANP32E,8471738.0464,1994658.32019,4465172.15846,3738948.8649500003,9313393.27,11769140.9474
160,ANPEP,265952736.486341,562954884.097848,376771021.108226,586959460.163229,256398797.074963,290745302.47696
161,ANTXR1,351918.3628,234042.7552,343924.4016,375407.6334,402696.293,355817.7407
162,ANXA1,44511024.70752,7182423.527548,7226562.920728,11524784.956476,55217720.74056,48227464.33564
163,ANXA11,38934923.15096,15403103.362559,16363638.91934,16848347.45556,50511799.06571,42505813.21063
164,ANXA2,2018681919.232829,379774526.238429,335799863.871548,649662267.24901,2568187056.214491,2112751442.9754689
165,ANXA4,148950024.53343,26332811.927419,30212686.76012,29787612.48517,194055976.62892,148587322.57186002
166,ANXA5,363477820.81781,48904097.31372,44416784.587407,66057395.33413,495869272.7934,346145771.44006
167,ANXA6,47936377.2324,12078655.926099999,11982402.0727,12389577.725200001,51891317.6065,49520702.724199995
168,ANXA7,48782454.4971,13133622.219279999,15178478.79585,13919485.51217,74830171.7206,48646066.4106
169,AP1B1,33530312.52194,11413704.462936,18720158.642008,13266779.631709,32628979.50877,40707017.77888
170,AP1G1,17656992.33779,5218158.016416,9074181.489769999,5331220.78294,21549525.72828,20425916.68175
171,AP1M1,3614404.0827,1023554.5447,1744197.0013,1972686.5751,4584794.9305,4309850.1623
172,AP2A1,32243946.42481,17478347.337755002,26881975.61,16677743.632152,37385645.6639,37774562.97473
173,AP2A2,13284166.96855,6253759.81059,8491441.53445,6058113.48575,17307394.501649998,15631061.11186
174,AP2B1,24328846.64807,7406310.23511,10354270.25161,9782345.286460001,25578218.36733,27929544.82856
175,AP2M1,40775979.45814,27807700.76609,38697570.90328,26981128.50045,43213087.35349,49972777.1119
176,AP2S1,5169409.7612000005,2318610.82909,4189671.7719,2552979.2525,6832972.1656,4692433.1043
177,AP3B1,18380186.14183,8292407.883880001,13494896.56605,7975043.0406,18629648.3724,22294872.42412
178,AP3D1,5634115.3897,2047666.93286,3157943.74148,1704569.83681,6296971.6551,6428109.2891999995
179,AP3M1,5985889.306799999,1671665.9817,2340027.7693999996,1495757.6292,6157727.262499999,7393450.510299999
180,AP3S1,3875956.9563,685908.2587700001,851881.5744,830722.8748,4943412.2934,3775641.7004
181,APEH,16729567.442,3427251.07176,6123647.6258,5405593.81306,15069692.8215,19144802.2258
182,APEX1,24032735.838999998,3141089.37173,6671401.97159,4208044.632441,25530025.57375,25651131.53045
183,API5,15885415.334420001,2070108.48268,5405416.57697,2892690.8667,20154294.6809,17487055.23676
184,APLP1,2363442.9562100004,8596245.25687,22008684.7383,9627638.7913,1740118.64961,2076980.1516399998
185,APLP2,27499271.75835,61474573.29071,121537134.53464,89367570.79348,24827667.30905,30999739.410940003
186,APMAP,42279070.59956,4783124.084946,6565237.340074,6203489.177961,55210159.28317,44095759.69911
187,APOA1,1093714.23652,3308033.6695,5353304.8913,9659426.7095,762764.78464,1782001.77978
188,APOB,3844337.4074,2147812.2283,1966189.6753,2688337.966,6322593.7665,3823328.3273
189,APOC1,947009.5042000001,4269300.038,5268143.034,4004063.6739999996,1691364.8886,781574.4472
190,APOE,113135549.397935,393223599.30257,697976995.269178,278652306.090969,96957441.08123,95422736.575797
191,APOH,680830.2449,2317703.5218,1474335.1374,11881852.340999998,880104.28199,721821.7860999999
192,APOL1,364235.1881,72200.26446,76956.86372,91692.04929,513936.6209,387328.7012
193,APOL2,3073245.0820000004,650962.2541,919652.6702999999,522036.64580000006,3724684.168,2785683.088
194,APOM,407377.5473,467849.7637,869316.9172,1017725.135,767095.0823,593114.7544
195,APOOL,308803.7498,227835.8128,204783.9703,283920.4671,571799.3975,344409.4045
196,APP,31288180.603289,141427042.06853,303920141.63945,162558319.903982,31484186.9892853,31514376.008022
197,APRT,54592184.890377,12815108.372958,17080981.907076,17412353.453492,64621886.866178,59625953.572224
198,AQR,4148981.582,2458167.148,2705509.939,2058077.201,7434059.318,4524175.619
199,ARAF,733600.2875,186717.3165,201096.2025,257073.6914,1004067.535,860831.912
200,ARAP1,455411.5074,76732.8722,46421.6543,72025.33403,590854.8159,419663.2194
201,ARAP2,3952326.876,718740.1661,1202883.441,998182.4853,5971221.218,4273688.329
202,ARCN1,41252913.3926,8879492.09929,12490107.98147,8352687.88799,44464200.9944,49151479.2464
203,ARF3,79116547.08179,34170780.93149,29370937.653460003,32171491.65129,55751901.64108,97557941.82082
204,ARF4,18035123.1136,5099192.6766,4506416.1765,5077801.5482,16587918.101599999,19496215.9186
205,ARF5,11020897.66011,3247308.046576,4155076.93639,4895333.38064,11101489.89148,14704505.13578
206,ARF6,767853.5699,736117.7384,547719.76799,756872.7161000001,679676.0357,887648.7168
207,ARFGAP1,3689192.479,635344.3271,777480.7588000001,748913.2281,3893138.3551000003,3894686.881
208,ARFGAP3,801484.0745,143261.1907,193135.2948,159373.4764,528385.5674,913259.0053
209,ARFGEF2,578360.0328,253820.6272,294175.2017,249872.9273,769094.3888,659958.8405
210,ARFIP1,5632352.5023,1242355.04076,1627498.7084599999,1545162.1078500003,6698637.0221,6400377.026
211,ARFIP2,606007.8522,151512.8116,207658.7634,192602.4281,651665.9878,710411.559
212,ARGLU1,3187995.989,530293.8611999999,965396.9568,519216.9354,3970138.0820000004,2999340.5810000002
213,ARHGAP1,17186466.89598,4021005.28389,5181644.30994,4494329.31765,18424734.4994,19685731.26136
214,ARHGAP17,2950027.0849,1259118.21551,1445656.14234,1447816.16658,3310330.1353,3609569.9469
215,ARHGAP29,1475044.234,376525.6043,478255.9134,393073.6596,1278537.475,1951284.127
216,ARHGAP35,559071.9084,9070777.981,10313145.15,5555966.117,333682.3648,477822.5606
217,ARHGAP4,3501520.17154,615264.955,757843.4059,583333.14911,4997764.72571,3238657.24641
218,ARHGAP40,605345.8755,302601.5301,377441.328,252948.2361,337338.1869,565355.2904
219,ARHGDIA,75247085.9637,13079064.47775,22980361.25869,20391066.78294,89183634.22,104115060.3096
220,ARHGEF1,784324.387,174451.0921,212937.944,199122.8955,1008104.812,928290.8602
221,ARHGEF10L,1059965.821,81723.45875,113219.7041,77419.30938,410713.8409,611868.1883
222,ARHGEF19,1440293.77,255429.6731,388770.7589,360928.3405,520806.111,675677.8364
223,ARHGEF2,10914423.58577,2436618.882547,3091564.459699,2559324.944816,16311346.58149,9611952.39125
224,ARHGEF6,1175718.6717,335828.7818,468705.9538,420976.23230000003,1667107.8766,1300641.1488
225,ARHGEF7,2015295.8889000001,258737.74602,255283.64071,287226.1368,2615975.5810000002,2649031.987
226,ARID1A,1190715.2589,460388.05189999996,629194.9663,435640.11470000003,1720784.7325,1434667.7009
227,ARIH1,1073276.458,184219.3367,343207.4646,295557.2483,717780.294,1057010.167
